episode,step,Te,Te_ref,Id,Iq,action_d,action_q,reward,speed
0,0,0.56367946,0.51491576,0.64449126,0.33842656,-0.37976694,-0.689681,-0.6243241922272209,106.51208
0,1,0.52234936,0.51491576,0.40671563,0.28796068,-0.7291605,-0.17676544,-0.20778892660202714,106.51208
0,2,0.5331291,0.51491576,0.15252647,0.27027068,-0.77991736,-0.05721873,-0.0742975844523727,106.51208
0,3,0.52226174,0.51491576,0.10595176,0.26091725,-0.1510551,-0.029692769,-0.11488610157996602,106.51208
0,4,0.519636,0.51491576,0.07679312,0.25726688,-0.09832394,-0.008737326,-0.0428755359030125,106.51208
0,5,0.5220202,0.51491576,0.051215325,0.25642106,-0.08763409,0.0012943745,-0.033640744182304394,106.51208
0,6,0.5220739,0.51491576,0.03055762,0.25483388,-0.07288349,-0.0023555756,-0.03509306725588453,106.51208
0,7,0.52186847,0.51491576,0.016275391,0.25363025,-0.0536561,-0.0014375448,-0.034838650681979985,106.51208
0,8,0.52171934,0.51491576,0.005458359,0.25272873,-0.043223023,-0.000674963,-0.03348745562090875,106.51208
0,9,0.52151734,0.51491576,-0.0034924925,0.2519492,-0.037623227,-0.00052666664,-0.03265718410014355,106.51208
0,10,0.5213058,0.51491576,-0.010449185,0.25131994,-0.03162217,-0.00020438433,-0.03243127797912365,106.51208
0,11,0.52114177,0.51491576,-0.015611141,0.2508513,-0.026214123,0.00022101402,-0.03212710402538907,106.51208
0,12,0.52102655,0.51491576,-0.019585367,0.25049683,-0.02263856,0.0005146265,-0.03174657597775342,106.51208
0,13,0.52096736,0.51491576,-0.022663854,0.2502373,-0.01994294,0.00076794624,-0.03153180528096623,106.51208
0,14,0.52094215,0.51491576,-0.024996769,0.25005034,-0.017698348,0.00096154213,-0.03142158684829824,106.51208
0,15,0.52096987,0.51491576,-0.026798785,0.24992874,-0.016101599,0.0011481047,-0.031334421702289436,106.51208
0,16,0.521003,0.51491576,-0.028200055,0.24983983,-0.014897168,0.0012228489,-0.03131818205560409,106.51208
0,17,0.52103215,0.51491576,-0.029279329,0.24977313,-0.013929248,0.0012686253,-0.03133126252355126,106.51208
0,18,0.5210486,0.51491576,-0.030095657,0.24972005,-0.013138354,0.0012905598,-0.0313460045086503,106.51208
0,19,0.52106047,0.51491576,-0.03071713,0.24967931,-0.012552321,0.0013149977,-0.03134661962230889,106.51208
0,20,0.52107,0.51491576,-0.031194054,0.24964829,-0.012117684,0.0013347864,-0.03134630575194003,106.51208
0,21,0.5210771,0.51491576,-0.031558592,0.24962448,-0.011779726,0.0013490915,-0.03134842405386962,106.51208
0,22,0.5210823,0.51491576,-0.031836282,0.24960627,-0.011518538,0.0013602972,-0.03134971649468814,106.51208
0,23,0.52108634,0.51491576,-0.032048292,0.24959238,-0.011321008,0.0013691187,-0.0313500215353634,106.51208
0,24,0.5210894,0.51491576,-0.032210413,0.24958174,-0.011170983,0.0013756752,-0.03135038057432277,106.51208
0,25,0.52109164,0.51491576,-0.0323342,0.2495736,-0.011055708,0.001380682,-0.03135082448002838,106.51208
0,26,0.5210935,0.51491576,-0.03242866,0.24956743,-0.010967493,0.0013847351,-0.03135109156753359,106.51208
0,27,0.5210948,0.51491576,-0.032500796,0.2495627,-0.010900378,0.0013875961,-0.031351278490058546,106.51208
0,28,0.5210958,0.51491576,-0.03255591,0.24955907,-0.010849178,0.0013898611,-0.03135142599656979,106.51208
0,29,0.52109665,0.51491576,-0.03259798,0.24955632,-0.010809958,0.0013916492,-0.03135155461784729,106.51208
0,30,0.52109724,0.51491576,-0.032630123,0.24955422,-0.010780096,0.0013929605,-0.031351647231249516,106.51208
0,31,0.5210977,0.51491576,-0.032654654,0.2495526,-0.010757208,0.0013939142,-0.031351736588785664,106.51208
0,32,0.521098,0.51491576,-0.0326734,0.24955134,-0.010739803,0.0013946295,-0.03135176168296443,106.51208
0,33,0.5210983,0.51491576,-0.0326877,0.24955042,-0.010726452,0.0013953447,-0.03135177850693428,106.51208
0,34,0.52109855,0.51491576,-0.03269864,0.24954972,-0.010716319,0.0013958216,-0.03135181253856356,106.51208
0,35,0.5210987,0.51491576,-0.032706995,0.24954915,-0.0107085705,0.00139606,-0.03135186208646222,106.51208
0,36,0.5210988,0.51491576,-0.03271335,0.24954875,-0.01070255,0.0013964176,-0.031351890184187714,106.51208
0,37,0.52109885,0.51491576,-0.0327182,0.24954842,-0.01069802,0.0013965368,-0.0313519051750307,106.51208
0,38,0.521099,0.51491576,-0.03272192,0.2495482,-0.010694623,0.0013967752,-0.03135190792803301,106.51208
0,39,0.52109903,0.51491576,-0.032724768,0.24954799,-0.010692,0.0013967752,-0.03135193291153186,106.51208
0,40,0.52109903,0.51491576,-0.032726943,0.24954784,-0.010689974,0.0013968945,-0.03135192506492479,106.51208
0,41,0.5210991,0.51491576,-0.032728583,0.24954773,-0.0106883645,0.0013970137,-0.031351922819487954,106.51208
0,42,0.5210991,0.51491576,-0.032729845,0.24954765,-0.010687232,0.0013970137,-0.031351914534706066,106.51208
0,43,0.52109915,0.51491576,-0.03273081,0.2495476,-0.010686338,0.0013971329,-0.03135191719834707,106.51208
0,44,0.52109915,0.51491576,-0.03273156,0.24954756,-0.010685682,0.0013971329,-0.0313519332788039,106.51208
0,45,0.52109915,0.51491576,-0.032732107,0.24954751,-0.010685086,0.0013971329,-0.031351958107806194,106.51208
0,46,0.52109915,0.51491576,-0.032732535,0.24954748,-0.010684729,0.0013971329,-0.031351943608799074,106.51208
0,47,0.52109915,0.51491576,-0.032732885,0.24954745,-0.01068449,0.0013971329,-0.03135193002258197,106.51208
0,48,0.5210992,0.51491576,-0.03273314,0.24954745,-0.010684192,0.0013972521,-0.03135194008891376,106.51208
0,49,0.52109915,0.51491576,-0.03273331,0.24954742,-0.010683954,0.0013971329,-0.03135198199795451,106.51208
0,50,0.5210992,0.51491576,-0.032733463,0.24954744,-0.010683894,0.0013972521,-0.03135193568461107,106.51208
0,51,0.52109915,0.51491576,-0.03273358,0.2495474,-0.010683775,0.0013971329,-0.031351979693618345,106.51208
0,52,0.5210992,0.51491576,-0.03273365,0.24954742,-0.010683656,0.0013972521,-0.03135194665428272,106.51208
0,53,0.52109915,0.51491576,-0.032733724,0.24954739,-0.010683656,0.0013971329,-0.03135196362246512,106.51208
0,54,0.52109915,0.51491576,-0.032733776,0.2495474,-0.010683596,0.0013972521,-0.03135193295894026,106.51208
0,55,0.5210992,0.51491576,-0.03273381,0.2495474,-0.0106835365,0.0013972521,-0.031351949124909115,106.51208
0,56,0.52109915,0.51491576,-0.032733843,0.24954739,-0.0106835365,0.0013971329,-0.03135198055313474,106.51208
0,57,0.5210992,0.51491576,-0.032733876,0.2495474,-0.0106835365,0.0013972521,-0.03135193979858706,106.51208
0,58,0.52109915,0.51491576,-0.03273389,0.24954738,-0.010683477,0.0013971329,-0.03135197249844289,106.51208
