episode,step,Te,Te_ref,Id,Iq,action_d,action_q,reward,speed
0,0,0.37795752,0.51491576,0.77841693,0.1881575,-1.0,0.9687266,-1.1175347384748875,106.51207397655341
0,1,0.5203586,0.51491576,0.55932415,0.22464731,-1.0,0.24891087,-0.7950494371756234,106.51207397655341
0,2,0.52322924,0.51491576,0.3718262,0.20283481,-0.8596561,-0.10189943,-0.49789591849495995,106.51207397655341
0,3,0.5236104,0.51491576,0.21173738,0.18671381,-0.73629105,-0.0773022,-0.4814973781752497,106.51207397655341
0,4,0.51689625,0.51491576,0.0977593,0.1743695,-0.5275948,-0.06205564,-0.48098129047442706,106.51207397655341
0,5,0.5118415,0.51491576,0.050455596,0.1688807,-0.22484615,-0.02598751,-0.39557870603934225,106.51207397655341
0,6,0.5162157,0.51491576,-0.0021914605,0.1662689,-0.2496326,-0.011638262,-0.37455282588396127,106.51207397655341
0,7,0.5144465,0.51491576,-0.011144874,0.16503087,-0.05115617,-0.005121349,-0.34889579523427544,106.51207397655341
0,8,0.5134226,0.51491576,-0.031195238,0.16322836,-0.10176299,-0.009148664,-0.2835765563337498,106.51207397655341
0,9,0.5168581,0.51491576,-0.068149194,0.16165413,-0.17898288,-0.009219564,-0.32231307355708927,106.51207397655341
0,10,0.51112163,0.51491576,-0.08156152,0.15892398,-0.072101474,-0.017232792,-0.36174884656319983,106.51207397655341
0,11,0.5100378,0.51491576,-0.090846404,0.15794677,-0.05337128,-0.0075551057,-0.38155634845305775,106.51207397655341
0,12,0.5121265,0.51491576,-0.09807114,0.15809698,-0.044092055,-0.001365626,-0.3886975316766616,106.51207397655341
0,13,0.5108918,0.51491576,-0.0887138,0.15835808,0.031358484,-0.0006620197,-0.36418334548351905,106.51207397655341
0,14,0.5175014,0.51491576,-0.08696551,0.16052894,-0.0032574763,0.010796703,-0.3929857366690229,106.51207397655341
0,15,0.5114976,0.51491576,-0.0770852,0.15935227,0.033796553,-0.008497063,-0.3720087915751135,106.51207397655341
0,16,0.5156984,0.51491576,-0.08259893,0.16027445,-0.036206126,0.003884669,-0.3914542541768647,106.51207397655341
0,17,0.51695454,0.51491576,-0.100218624,0.15943903,-0.09145862,-0.0069573107,-0.31317239250885304,106.51207397655341
0,18,0.5170092,0.51491576,-0.1108155,0.15872753,-0.05966202,-0.006927222,-0.3280017503219342,106.51207397655341
0,19,0.5172151,0.51491576,-0.13440058,0.15719269,-0.11893633,-0.012588608,-0.357005251409023,106.51207397655341
0,20,0.5120907,0.51491576,-0.15014039,0.15459697,-0.08339788,-0.019777521,-0.3589515902567069,106.51207397655341
0,21,0.50904536,0.51491576,-0.13675089,0.15455474,0.049204428,-0.004915156,-0.3939399484532797,106.51207397655341
0,22,0.51175934,0.51491576,-0.10068943,0.15780456,0.1526204,0.015565289,-0.43873881898382383,106.51207397655341
0,23,0.5142892,0.51491576,-0.101761796,0.15851106,-0.016205855,0.0015627595,-0.40130321705243793,106.51207397655341
0,24,0.5135881,0.51491576,-0.11947108,0.15709111,-0.09201743,-0.011337543,-0.3102650616520408,106.51207397655341
0,25,0.513459,0.51491576,-0.09861305,0.15847111,0.083486386,0.0051188683,-0.35807911245299784,106.51207397655341
0,26,0.51164836,0.51491576,-0.10895074,0.15720806,-0.05837998,-0.010087773,-0.3575813714279197,106.51207397655341
0,27,0.51883364,0.51491576,-0.12871635,0.158068,-0.101483025,0.0015990306,-0.38365995661188745,106.51207397655341
0,28,0.50948596,0.51491576,-0.12875156,0.15521778,-0.0117923245,-0.020598998,-0.4107037414395161,106.51207397655341
0,29,0.51022905,0.51491576,-0.1336112,0.15512173,-0.03368716,-0.004627461,-0.4124834718683778,106.51207397655341
0,30,0.5180669,0.51491576,-0.15472119,0.15609807,-0.107841834,0.0010227188,-0.4085144302196319,106.51207397655341
0,31,0.5123654,0.51491576,-0.16288778,0.15384863,-0.049123053,-0.018566182,-0.39203554905077725,106.51207397655341
0,32,0.51282424,0.51491576,-0.13771449,0.15563813,0.10271002,0.0054708114,-0.3953220582522835,106.51207397655341
0,33,0.512238,0.51491576,-0.14681642,0.15485962,-0.053155504,-0.00915592,-0.3789809022739211,106.51207397655341
0,34,0.50991213,0.51491576,-0.15047355,0.15391754,-0.028421022,-0.010434339,-0.3540125146862803,106.51207397655341
0,35,0.5095321,0.51491576,-0.15873908,0.15326594,-0.049426023,-0.009035637,-0.39148552450063767,106.51207397655341
0,36,0.51467943,0.51491576,-0.17899795,0.15350093,-0.1041898,-0.0045435773,-0.4136771606070324,106.51207397655341
0,37,0.51656973,0.51491576,-0.20074825,0.15267421,-0.111262634,-0.011776841,-0.25183736395719725,106.51207397655341
0,38,0.5116412,0.51491576,-0.20112993,0.15119362,-0.014125258,-0.016154557,-0.35408240611062025,106.51207397655341
0,39,0.517937,0.51491576,-0.20923725,0.15254097,-0.049334228,0.00018196879,-0.3891082988845351,106.51207397655341
0,40,0.51224923,0.51491576,-0.19701454,0.15163219,0.04318287,-0.012912936,-0.39476162701251244,106.51207397655341
0,41,0.50908524,0.51491576,-0.19002332,0.15113474,0.019563347,-0.010051392,-0.36018470657148316,106.51207397655341
0,42,0.5146655,0.51491576,-0.21741733,0.15106648,-0.13701892,-0.008040024,-0.4306072498901033,106.51207397655341
0,43,0.513674,0.51491576,-0.19591917,0.1521232,0.08536496,-0.0015934836,-0.2945126827426519,106.51207397655341
0,44,0.5086461,0.51491576,-0.18429314,0.15136589,0.040678665,-0.011400846,-0.3357372258021974,106.51207397655341
0,45,0.5116124,0.51491576,-0.16624573,0.15340538,0.07007134,0.0056887437,-0.428835630998352,106.51207397655341
0,46,0.5115283,0.51491576,-0.14504768,0.15476125,0.08458625,0.0026654038,-0.36686199900101313,106.51207397655341
